1981.16 192.13
1981.50 193.51
1981.83 210.71
1982.16 193.01
1982.50 146.09
1982.83 149.53
1983.16 96.70
1983.50 117.22
1983.83 58.44
1984.17 98.04
1984.50 63.15
1984.83 20.77
1985.16 18.95
1985.50 27.70
1985.83 15.00
1986.16 16.73
1986.50 11.17
1986.83 16.58
1987.16 19.15
1987.50 36.00
1987.83 45.88
1988.17 78.97
1988.50 117.31
1988.83 171.79
1989.16 188.85
1989.50 223.11
1989.83 221.70
1990.16 195.15
1990.50 192.94
1990.83 186.10
1991.16 207.53
1991.50 218.14
1991.83 184.54
1992.17 180.54
1992.50 99.74
1992.83 119.71
1993.16 101.51
1993.50 72.84
1993.83 54.70
1994.16 53.64
1994.50 38.60
1994.83 42.31
1995.16 36.59
1995.50 20.12
1995.83 18.80
1996.17 10.10
1996.50 13.90
1996.83 10.66
1997.16 13.38
1997.50 23.68
1997.83 49.62
1998.16 61.82
1998.50 95.57
1998.83 106.76
1999.16 95.28
1999.50 168.16
1999.83 145.02
2000.17 177.00
2000.50 194.68
2000.83 149.75
2001.16 147.90
2001.50 157.38
2001.83 205.55
2002.16 172.21
2002.50 163.22
2002.83 155.39
2003.16 101.93
2003.50 112.31
2003.83 82.86
2004.17 67.31
2004.50 73.22
2004.83 55.49
2005.16 42.49
2005.50 60.39
2005.83 34.28
2006.16 23.54
2006.50 26.17
2006.83 24.15
2007.16 15.08
2007.50 16.44
2007.83 6.42
2008.17 6.53
2008.50 2.67
2008.83 3.25
2009.16 1.09
2009.50 3.69
2009.83 9.49
2010.16 20.57
2010.50 21.89
2010.83 32.23
2011.16 57.59
2011.50 61.15
2011.83 123.54
2012.17 78.68
2012.50 95.84
2012.83 78.67
2013.16 85.66
2013.50 93.70
2013.83 101.71
2014.16 126.06
2014.50 105.61
2014.83 109.12
2015.16 72.41
2015.50 71.39
2015.83 65.60
2016.17 51.33
2016.50 38.64
2016.83 29.48
2017.16 25.62
2017.50 22.14
2017.83 17.69
2018.16 7.22
2018.50 9.75
2018.83 4.08
2019.16 6.75
2019.50 3.11
2019.83 0.87
2020.17 3.27
2020.41 3.01
