0	374	355	466	333	443	232	320	209	492	465	384	624	192	517	582
374	0	155	354	336	398	407	196	195	297	117	479	252	245	254	233
355	155	0	495	446	528	473	319	147	449	266	578	312	308	410	371
466	354	495	0	143	75	296	183	439	97	304	232	508	281	183	335
333	336	446	143	0	110	154	139	352	208	335	145	547	167	375	408
443	398	528	75	110	0	247	208	451	172	364	159	573	274	256	407
232	407	473	296	154	247	0	242	343	361	445	152	648	166	420	537
320	196	319	183	139	208	242	0	255	175	204	284	413	129	198	296
209	195	147	439	352	451	343	255	0	421	307	466	427	191	411	426
492	297	449	97	208	172	361	175	421	0	223	323	417	299	85	238
465	117	266	304	335	364	445	204	307	223	0	479	212	303	157	119
384	479	578	232	145	159	152	284	466	323	479	0	692	275	402	545
624	252	312	508	547	573	648	413	427	417	212	692	0	494	336	193
192	245	308	281	167	274	166	129	191	299	303	275	494	0	327	411
517	254	410	183	375	256	420	198	411	85	157	402	336	327	0	152
582	233	371	335	408	407	537	296	426	238	119	545	193	411	152	0
